,,,,,,
Chemistry / Technology,Description,Main Attributes,Best Used For  ,,Example Industrial Uses,Example Forza Products  
Acrylic (incl. PSA),"- Made from acrylic polymers/resins.
- Bonds via free radical polymerization.
- Often pressure-sensitive (PSA).","- Durable
- Good UV/weather resistance
- Flexible","- Metal, glass, plastics, rubber
- High/low temp tolerant
- Moisture, UV resistant
- Quick handling & fast strength",,"- Construction, labeling, automotive, tape, electronic assembly, medical devices, advertising",
Epoxy,"- Thermosetting resin with amine/acid hardener.
- Chemical crosslinking during cure.
- Very strong covalent bonds.","- High strength & durability
- Excellent Chemical resistance
- Rigid","- Metals, composites, concrete, wood, some plastics
- High/low temp
- Minimal flex
- Slow to moderate cure time",,"- Aerospace, automotive, electronics, Construction, marine, electrical potting",
Modified Epoxies,- Epoxy resin blended with flexibility modifiers or fillers.,- Combines Epoxy strength with improved flexibility or speed,"- Metal, composites needing more flexibility or peel strength",,"- automotive, Construction, Flexible joints, pumpable Epoxy coatings",
Modified Silane (MS Polymer/ Hybrid Polymer),"- Silane-terminated polyether or polyurethane blends.
- Chemically Bonds to many substrates.
- Cures with moisture.","- Blends flexibility, strength, & weatherability
- Paintable","- Wide range: glass, Metal, plastics, concrete, composites
- Alt for silicone or PU
- Exterior and interior use",,"- Construction, marine, automotive, panel bonding, structural sealing",
Cyanoacrylates,"- 'Super glue'ù class
- Rapid anionic polymerization with water/moisture
- Forms rigid, strong bonds quickly","- fast cure (seconds)
- High strength, thin bond lines
- Brittle","- plastics, Metal, rubber, ceramics, skin
- Small parts, instant Bonds
- low temp, low flex",,"- electronics, medical (wound closure), Quick repairs, model assembly",
Polyurethane (PU),"- Isocyanate and polyol reaction
- Forms flexible, durable polymers
- One- & two-part options","- strong, elastic
- Handles movement
- Resists weather & Moisture","- many substrates: wood, concrete, plastics, Metal, glass
- High/low temp
- Good for flex joints",,"- Construction, wood/flooring, automotive, insulation, panel lamination, packaging",
Solvent Based,"- polymers dissolved in solvent
- Forms film as solvent evaporates
- Wide range of chemistries","- fast dry
- Good initial tack
- Old school tech","- Porous and non-Porous
- Flexible and Rigid Bonds
- Faster handling time",,"- Shoes, upholstery, signage, arts/crafts, automotive interior trim",
Water Based,"- Emulsion or latex of polymer in water
- Dries/Cures as water evaporates
- Eco-friendly alternatives","- low VOC, safe
- Repositionable until dry
- Limited water resistance","- Paper, textiles, wood, foam, Porous substrates
- Not for constant wet/freeze-thaw",,"- packaging, bookbinding, furniture, textile lamination, label adhesives",
Silicone,"- Polysiloxane base
- Cures via Moisture to form Flexible rubber
- Remains elastomeric","- Extreme temp stability
- Remains Flexible
- UV, Chemical, weather resistant","- Glass, metal, ceramic, plastic, stone
- Joint sealing (expansion/contraction)
- High temp, wet environments",,"- Construction sealants, electronics, glazing, kitchens/baths, automotive",
Methacrylate/MMA,"- acrylic-based, fast-cure adhesives
- Cures via free radical mechanism
- structural Bonds, some flexibility","- strong, impact resistance
- Bonds plastics/composites
- fast fixture","- bonding fiberglass, plastics (thermoplastics), composite parts, Metals",,"- marine, transportation, sign making, automotive panel bonding",
